Order_ID,Order_Date,Product,Category,Subcategory,Customer_ID,Region,City,Channel,Unit_Price,Quantity,Discount,Sales,COGS,Profit,Payment_Method
ORD202400262,2024-01-18,Tablet - Electronics,Electronics,Tablet,CUST1114,South,Hyderabad,Online,16346,1,0.35,10624.9,12401.05,-1776.15,UPI
ORD202400434,2024-01-19,Lipstick - Beauty,Beauty,Lipstick,CUST5137,West,Mumbai,Mobile App,859,1,0.21,678.61,727.6,-48.99,UPI
ORD202400033,2024-01-19,Sneakers - Fashion,Fashion,Sneakers,CUST5980,West,Pune,Store,1117,1,0.19,904.77,846.64,58.13,UPI
ORD202400087,2024-01-20,Perfume - Beauty,Beauty,Perfume,CUST2933,North,Lucknow,Online,716,4,0.11,2548.96,2142.94,406.02,Net Banking
ORD202401064,2024-01-20,Football - Sports,Sports,Football,CUST2037,North,Jaipur,Mobile App,2837,2,0.15,4822.9,4585.06,237.84,UPI
ORD202400796,2024-01-21,Air Cooler - Home,Home,Air Cooler,CUST5549,South,Chennai,Online,5281,3,0.16,13308.12,11794.07,1514.05,Debit Card
ORD202401048,2024-01-21,Tennis Racket - Sports,Sports,Tennis Racket,CUST2664,North,Lucknow,Online,2129,4,0.14,7323.76,5523.62,1800.14,UPI
ORD202400913,2024-01-21,Laptop - Electronics,Electronics,Laptop,CUST5933,East,Patna,Mobile App,15210,9,0.04,131414.4,109036.33,22378.07,Net Banking
ORD202401047,2024-01-22,Smartphone - Electronics,Electronics,Smartphone,CUST5398,West,Surat,Online,11470,1,0.18,9405.4,8832.07,573.33,Credit Card
ORD202400637,2024-01-22,Water Purifier - Home,Home,Water Purifier,CUST2160,East,Kolkata,Mobile App,5344,1,0.21,4221.76,3446.41,775.35,Debit Card
ORD202400212,2024-01-22,Lipstick - Beauty,Beauty,Lipstick,CUST5449,West,Ahmedabad,Store,753,1,0.13,655.11,617.84,37.27,Debit Card
ORD202400611,2024-01-23,Football - Sports,Sports,Football,CUST5406,East,Patna,Online,2888,1,0.35,1877.2,1797.43,79.77,UPI
ORD202400857,2024-01-23,Smartwatch - Electronics,Electronics,Smartwatch,CUST5595,North,Chandigarh,Online,11598,1,0.11,10322.22,9395.68,926.54,Debit Card
ORD202400664,2024-01-25,Lipstick - Beauty,Beauty,Lipstick,CUST5270,West,Ahmedabad,Mobile App,694,4,0.08,2553.92,1966.42,587.5,UPI
ORD202400745,2024-01-26,Perfume - Beauty,Beauty,Perfume,CUST5694,South,Chennai,Mobile App,676,2,0.35,878.8,888.38,-9.58,Credit Card
ORD202400049,2024-01-26,Perfume - Beauty,Beauty,Perfume,CUST5123,North,Delhi,Mobile App,838,1,0.13,729.06,552.27,176.79,UPI
ORD202400502,2024-01-26,Laptop - Electronics,Electronics,Laptop,CUST4491,West,Ahmedabad,Store,19423,1,0.1,17480.7,12952.84,4527.86,UPI
ORD202400493,2024-01-26,Laptop - Electronics,Electronics,Laptop,CUST4677,West,Surat,Online,13944,1,0.17,11573.52,11721.11,-147.59,UPI
ORD202400443,2024-01-27,Smartwatch - Electronics,Electronics,Smartwatch,CUST2278,East,Bhubaneswar,Online,11320,5,0.07,52638.0,44122.08,8515.92,Credit Card
ORD202400398,2024-01-27,Smartwatch - Electronics,Electronics,Smartwatch,CUST5943,West,Pune,Mobile App,12678,1,0.07,11790.54,10026.76,1763.78,Cash on Delivery
ORD202401049,2024-01-27,Earbuds - Electronics,Electronics,Earbuds,CUST2637,North,Delhi,Mobile App,18780,2,0.07,34930.8,27055.5,7875.3,Debit Card
ORD202400706,2024-01-27,Dumbbells - Sports,Sports,Dumbbells,CUST2525,South,Bengaluru,Online,2732,5,0.16,11474.4,11449.27,25.13,UPI
ORD202400585,2024-01-28,Cricket Bat - Sports,Sports,Cricket Bat,CUST4653,West,Pune,Online,2778,1,0.09,2527.98,1858.09,669.89,UPI
ORD202400865,2024-01-28,Air Cooler - Home,Home,Air Cooler,CUST4813,East,Kolkata,Online,5399,5,0.02,26455.1,16562.34,9892.76,Credit Card
ORD202400007,2024-01-28,Cricket Bat - Sports,Sports,Cricket Bat,CUST3690,South,Bengaluru,Online,2091,2,0.09,3805.62,3436.78,368.84,Debit Card
ORD202401038,2024-01-29,T-Shirt - Fashion,Fashion,T-Shirt,CUST5619,South,Hyderabad,Store,1794,1,0.23,1381.38,1227.51,153.87,Debit Card
ORD202400475,2024-01-29,Dress - Fashion,Fashion,Dress,CUST1719,South,Chennai,Online,1419,2,0.09,2582.58,2286.72,295.86,Net Banking
ORD202400914,2024-01-30,Yoga Mat - Sports,Sports,Yoga Mat,CUST5244,South,Kochi,Mobile App,2745,1,0.07,2552.85,2233.24,319.61,UPI
ORD202401196,2024-01-31,Dress - Fashion,Fashion,Dress,CUST2879,North,Chandigarh,Online,1847,1,0.18,1514.54,1416.23,98.31,Debit Card
ORD202400168,2024-02-01,Air Cooler - Home,Home,Air Cooler,CUST2749,West,Pune,Store,6557,1,0.15,5573.45,5373.18,200.27,UPI
ORD202400239,2024-02-01,Shampoo - Beauty,Beauty,Shampoo,CUST3800,West,Surat,Mobile App,870,3,0.05,2479.5,2061.25,418.25,Credit Card
ORD202400327,2024-02-03,Jacket - Fashion,Fashion,Jacket,CUST1147,South,Kochi,Mobile App,1595,3,0.08,4402.2,3675.34,726.86,Debit Card
ORD202400714,2024-02-04,Sunscreen - Beauty,Beauty,Sunscreen,CUST2334,North,Lucknow,Online,518,1,0.14,445.48,377.16,68.32,UPI
ORD202401016,2024-02-05,Tennis Racket - Sports,Sports,Tennis Racket,CUST5643,East,Guwahati,Online,2184,1,0.2,1747.2,1619.06,128.14,UPI
ORD202400910,2024-02-05,Lipstick - Beauty,Beauty,Lipstick,CUST5750,East,Bhubaneswar,Online,743,1,0.17,616.69,533.21,83.48,Credit Card
ORD202400089,2024-02-07,Tablet - Electronics,Electronics,Tablet,CUST4111,South,Chennai,Online,16525,1,0.23,12724.25,13431.55,-707.3,Net Banking
ORD202400826,2024-02-07,Dumbbells - Sports,Sports,Dumbbells,CUST3044,West,Pune,Mobile App,2597,4,0.05,9868.6,6934.64,2933.96,Cash on Delivery
ORD202400472,2024-02-08,Dress - Fashion,Fashion,Dress,CUST5271,North,Lucknow,Online,1468,1,0.35,954.2,1006.22,-52.02,Debit Card
ORD202400702,2024-02-08,Jacket - Fashion,Fashion,Jacket,CUST1573,West,Mumbai,Online,1249,1,0.2,999.2,890.64,108.56,Debit Card
ORD202401166,2024-02-08,Cricket Bat - Sports,Sports,Cricket Bat,CUST2362,West,Ahmedabad,Online,1952,1,0.04,1873.92,1624.36,249.56,Credit Card
ORD202400292,2024-02-09,Smartwatch - Electronics,Electronics,Smartwatch,CUST1226,West,Ahmedabad,Mobile App,16109,1,0.24,12242.84,13041.16,-798.32,Debit Card
ORD202401117,2024-02-09,Sneakers - Fashion,Fashion,Sneakers,CUST3922,South,Hyderabad,Mobile App,1228,2,0.24,1866.56,1935.22,-68.66,Credit Card
ORD202400754,2024-02-09,Lipstick - Beauty,Beauty,Lipstick,CUST4095,South,Hyderabad,Online,752,1,0.01,744.48,533.63,210.85,UPI
ORD202400578,2024-02-10,Vacuum Cleaner - Home,Home,Vacuum Cleaner,CUST4621,South,Bengaluru,Online,6319,1,0.1,5687.1,4972.5,714.6,Debit Card
ORD202401008,2024-02-10,Air Fryer - Home,Home,Air Fryer,CUST3121,East,Bhubaneswar,Online,7694,1,0.07,7155.42,5384.64,1770.78,UPI
ORD202401083,2024-02-10,Water Purifier - Home,Home,Water Purifier,CUST1753,West,Ahmedabad,Mobile App,7109,1,0.15,6042.65,4476.13,1566.52,Net Banking
ORD202400669,2024-02-11,Cricket Bat - Sports,Sports,Cricket Bat,CUST5419,South,Kochi,Mobile App,1885,3,0.31,3901.95,3559.74,342.21,UPI
ORD202400465,2024-02-11,Smartphone - Electronics,Electronics,Smartphone,CUST1947,East,Patna,Online,11074,1,0.25,8305.5,8383.98,-78.48,UPI
ORD202400666,2024-02-11,Dumbbells - Sports,Sports,Dumbbells,CUST4397,East,Kolkata,Mobile App,3088,1,0.08,2840.96,2586.67,254.29,UPI
ORD202400772,2024-02-12,Water Purifier - Home,Home,Water Purifier,CUST2777,South,Bengaluru,Mobile App,5489,1,0.1,4940.1,4205.67,734.43,Credit Card
ORD202400856,2024-02-12,Smartphone - Electronics,Electronics,Smartphone,CUST5993,East,Guwahati,Online,13910,1,0.13,12101.7,11217.27,884.43,UPI
ORD202401191,2024-02-13,Vacuum Cleaner - Home,Home,Vacuum Cleaner,CUST4467,South,Bengaluru,Online,6774,1,0.17,5622.42,4316.88,1305.54,Debit Card
ORD202400991,2024-02-14,Shampoo - Beauty,Beauty,Shampoo,CUST1222,East,Patna,Mobile App,490,1,0.05,465.5,384.98,80.52,UPI
ORD202400531,2024-02-15,Yoga Mat - Sports,Sports,Yoga Mat,CUST1889,South,Bengaluru,Online,2265,2,0.35,2944.5,2774.16,170.34,Credit Card
ORD202400510,2024-02-16,Yoga Mat - Sports,Sports,Yoga Mat,CUST4867,East,Guwahati,Online,3213,1,0.11,2859.57,2544.12,315.45,Credit Card
ORD202400570,2024-02-16,Sunscreen - Beauty,Beauty,Sunscreen,CUST1815,East,Patna,Online,848,2,0.12,1492.48,1137.08,355.4,Credit Card
ORD202400454,2024-02-18,Jacket - Fashion,Fashion,Jacket,CUST5777,West,Mumbai,Online,1624,2,0.08,2988.16,2391.69,596.47,Credit Card
ORD202400849,2024-02-18,Smartwatch - Electronics,Electronics,Smartwatch,CUST5748,West,Surat,Mobile App,10551,3,0.35,20574.45,23846.15,-3271.7,UPI
ORD202400926,2024-02-19,Sunscreen - Beauty,Beauty,Sunscreen,CUST3928,South,Kochi,Mobile App,653,2,0.31,901.14,933.16,-32.02,UPI
RET202400018,2024-02-21,Yoga Mat - Sports,Sports,Yoga Mat,CUST1923,South,Bengaluru,Online,2101,-1,0.26,-1554.74,1417.16,-137.58,Debit Card
ORD202400486,2024-02-21,Yoga Mat - Sports,Sports,Yoga Mat,CUST5710,South,Hyderabad,Online,2816,2,0.12,4956.16,3533.35,1422.81,UPI
ORD202400259,2024-02-21,Perfume - Beauty,Beauty,Perfume,CUST1136,South,Bengaluru,Online,745,3,0.03,2167.95,1519.02,648.93,UPI
ORD202400343,2024-02-21,Yoga Mat - Sports,Sports,Yoga Mat,CUST1923,South,Bengaluru,Online,2101,1,0.26,1554.74,1417.16,137.58,Debit Card
ORD202400795,2024-02-22,Air Cooler - Home,Home,Air Cooler,CUST2474,South,Bengaluru,Online,5480,2,0.19,8877.6,9089.83,-212.23,Debit Card
ORD202401059,2024-02-22,Sunscreen - Beauty,Beauty,Sunscreen,CUST3225,East,Patna,Online,661,3,0.17,1645.89,1454.39,191.5,UPI
ORD202400522,2024-02-22,Air Fryer - Home,Home,Air Fryer,CUST2893,West,Pune,Mobile App,6169,1,0.02,6045.62,4696.52,1349.1,Debit Card
ORD202400586,2024-02-22,Earbuds - Electronics,Electronics,Earbuds,CUST4138,West,Mumbai,Mobile App,12929,3,0.11,34520.43,25328.35,9192.08,Credit Card
ORD202400746,2024-02-22,Jeans - Fashion,Fashion,Jeans,CUST1208,South,Bengaluru,Online,1371,2,0.08,2522.64,2233.13,289.51,Debit Card
ORD202401162,2024-02-25,Sunscreen - Beauty,Beauty,Sunscreen,CUST4892,East,Guwahati,Store,855,1,0.22,666.9,581.27,85.63,UPI
ORD202400817,2024-02-25,Shampoo - Beauty,Beauty,Shampoo,CUST3811,West,Mumbai,Store,693,1,0.08,637.56,580.01,57.55,UPI
ORD202401111,2024-02-25,Lipstick - Beauty,Beauty,Lipstick,CUST5948,West,Ahmedabad,Mobile App,858,3,0.23,1981.98,1799.83,182.15,Debit Card
ORD202400438,2024-02-26,Perfume - Beauty,Beauty,Perfume,CUST4937,East,Guwahati,Online,732,2,0.08,1346.88,994.22,352.66,UPI
ORD202400743,2024-02-26,Smartphone - Electronics,Electronics,Smartphone,CUST2841,West,Mumbai,Online,14073,1,0.09,12806.43,10275.3,2531.13,UPI
ORD202400419,2024-02-26,Dress - Fashion,Fashion,Dress,CUST1595,West,Surat,Online,1621,1,0.07,1507.53,1143.5,364.03,Credit Card
ORD202400297,2024-02-27,Sunscreen - Beauty,Beauty,Sunscreen,CUST5108,East,Guwahati,Mobile App,704,5,0.17,2921.6,2731.59,190.01,Debit Card
ORD202400725,2024-02-27,Face Cream - Beauty,Beauty,Face Cream,CUST4279,West,Ahmedabad,Mobile App,494,1,0.18,405.08,301.4,103.68,UPI
ORD202401168,2024-02-27,Jeans - Fashion,Fashion,Jeans,CUST1303,West,Pune,Online,1742,3,0.06,4912.44,4219.06,693.38,UPI
ORD202400341,2024-02-27,T-Shirt - Fashion,Fashion,T-Shirt,CUST3756,North,Lucknow,Mobile App,1892,1,0.28,1362.24,1307.69,54.55,Credit Card
ORD202400390,2024-02-28,Water Purifier - Home,Home,Water Purifier,CUST1228,North,Chandigarh,Online,5087,1,0.17,4222.21,3486.18,736.03,Debit Card
ORD202400631,2024-02-28,Yoga Mat - Sports,Sports,Yoga Mat,CUST5637,North,Chandigarh,Online,3053,1,0.03,2961.41,2474.32,487.09,UPI
ORD202400473,2024-02-28,Vacuum Cleaner - Home,Home,Vacuum Cleaner,CUST5235,East,Kolkata,Mobile App,4228,1,0.19,3424.68,3400.48,24.2,Credit Card
ORD202400114,2024-02-28,Dumbbells - Sports,Sports,Dumbbells,CUST4249,West,Surat,Store,2196,1,0.08,2020.32,1600.66,419.66,UPI
ORD202400673,2024-02-28,T-Shirt - Fashion,Fashion,T-Shirt,CUST1442,East,Guwahati,Online,1651,2,0.23,2542.54,2341.3,201.24,Credit Card
ORD202400198,2024-02-28,Smartphone - Electronics,Electronics,Smartphone,CUST1946,East,Patna,Mobile App,14870,3,0.07,41487.3,36063.28,5424.02,UPI
ORD202400597,2024-02-29,Water Purifier - Home,Home,Water Purifier,CUST3781,West,Surat,Mobile App,7068,1,0.14,6078.48,5699.38,379.1,Debit Card
ORD202401022,2024-03-01,Yoga Mat - Sports,Sports,Yoga Mat,CUST3446,East,Patna,Online,3030,1,0.06,2848.2,2024.1,824.1,Debit Card
ORD202400476,2024-03-02,Dress - Fashion,Fashion,Dress,CUST5615,East,Kolkata,Store,1051,1,0.04,1008.96,692.82,316.14,Credit Card
ORD202400708,2024-03-03,Dumbbells - Sports,Sports,Dumbbells,CUST1330,North,Delhi,Store,2574,3,0.05,7335.9,4649.94,2685.96,Credit Card
ORD202401106,2024-03-03,Sneakers - Fashion,Fashion,Sneakers,CUST2556,West,Ahmedabad,Mobile App,1068,3,0.18,2627.28,2665.51,-38.23,Net Banking
ORD202400864,2024-03-03,T-Shirt - Fashion,Fashion,T-Shirt,CUST3056,South,Hyderabad,Online,1111,1,0.25,833.25,803.84,29.41,Credit Card
ORD202400326,2024-03-04,Cricket Bat - Sports,Sports,Cricket Bat,CUST1044,North,Chandigarh,Online,2081,2,0.11,3704.18,3358.06,346.12,UPI
ORD202401171,2024-03-05,Sneakers - Fashion,Fashion,Sneakers,CUST3988,West,Mumbai,Online,1142,1,0.27,833.66,821.04,12.62,Net Banking
ORD202401015,2024-03-05,Shampoo - Beauty,Beauty,Shampoo,CUST5672,West,Ahmedabad,Online,897,5,0.2,3588.0,3283.09,304.91,UPI
ORD202400927,2024-03-05,Air Fryer - Home,Home,Air Fryer,CUST2965,West,Mumbai,Online,7070,1,0.04,6787.2,5987.71,799.49,UPI
ORD202401183,2024-03-06,Earbuds - Electronics,Electronics,Earbuds,CUST2748,West,Mumbai,Mobile App,11586,1,0.18,9500.52,9827.88,-327.36,Net Banking
ORD202400895,2024-03-06,Air Fryer - Home,Home,Air Fryer,CUST3377,West,Surat,Mobile App,5431,1,0.21,4290.49,3669.66,620.83,UPI
ORD202400501,2024-03-06,Laptop - Electronics,Electronics,Laptop,CUST3990,South,Hyderabad,Mobile App,17621,1,0.14,15154.06,14612.55,541.51,UPI
ORD202401052,2024-03-07,Dumbbells - Sports,Sports,Dumbbells,CUST1112,North,Delhi,Mobile App,2894,2,0.07,5382.84,4610.57,772.27,Cash on Delivery
ORD202400999,2024-03-07,Sunscreen - Beauty,Beauty,Sunscreen,CUST3212,North,Lucknow,Mobile App,774,3,0.04,2229.12,1573.85,655.27,UPI
ORD202400363,2024-03-08,Dress - Fashion,Fashion,Dress,CUST4340,West,Pune,Store,1537,1,0.21,1214.23,1073.27,140.96,UPI
ORD202400667,2024-03-08,Yoga Mat - Sports,Sports,Yoga Mat,CUST5349,West,Pune,Store,2577,1,0.1,2319.3,1809.84,509.46,UPI
ORD202400392,2024-03-08,Perfume - Beauty,Beauty,Perfume,CUST5005,West,Ahmedabad,Online,670,3,0.22,1567.8,1375.51,192.29,Cash on Delivery
ORD202400903,2024-03-09,Yoga Mat - Sports,Sports,Yoga Mat,CUST2830,North,Chandigarh,Online,2173,2,0.25,3259.5,3170.24,89.26,Credit Card
ORD202400155,2024-03-10,Vacuum Cleaner - Home,Home,Vacuum Cleaner,CUST3563,North,Lucknow,Online,6237,7,0.03,42349.23,32615.48,9733.75,Credit Card
ORD202400643,2024-03-10,Air Cooler - Home,Home,Air Cooler,CUST1017,West,Surat,Online,7433,4,0.23,22893.64,19679.74,3213.9,UPI
ORD202400812,2024-03-11,Water Purifier - Home,Home,Water Purifier,CUST3521,West,Mumbai,Online,6864,6,0.16,34594.56,31562.48,3032.08,Debit Card
ORD202400896,2024-03-11,T-Shirt - Fashion,Fashion,T-Shirt,CUST3407,West,Mumbai,Mobile App,1466,1,0.16,1231.44,1053.25,178.19,Net Banking
ORD202400340,2024-03-12,Football - Sports,Sports,Football,CUST2581,South,Chennai,Online,1982,1,0.13,1724.34,1682.5,41.84,Credit Card
ORD202400129,2024-03-13,Smartwatch - Electronics,Electronics,Smartwatch,CUST4610,North,Lucknow,Online,12188,1,0.2,9750.4,9751.49,-1.09,Credit Card
ORD202401001,2024-03-13,Laptop - Electronics,Electronics,Laptop,CUST3064,West,Mumbai,Online,18581,1,0.02,18209.38,11614.46,6594.92,Credit Card
ORD202400305,2024-03-13,Cricket Bat - Sports,Sports,Cricket Bat,CUST5182,East,Guwahati,Mobile App,2038,5,0.04,9782.4,8395.45,1386.95,UPI
ORD202400402,2024-03-14,Air Fryer - Home,Home,Air Fryer,CUST5920,North,Lucknow,Store,5393,1,0.02,5285.14,3548.05,1737.09,UPI
ORD202400515,2024-03-14,Dress - Fashion,Fashion,Dress,CUST2794,North,Lucknow,Online,1720,1,0.19,1393.2,1398.16,-4.96,UPI
ORD202400241,2024-03-16,Football - Sports,Sports,Football,CUST4490,North,Chandigarh,Online,1932,3,0.05,5506.2,4610.97,895.23,UPI
ORD202401087,2024-03-16,Tablet - Electronics,Electronics,Tablet,CUST1613,North,Chandigarh,Online,15597,2,0.04,29946.24,20960.96,8985.28,Cash on Delivery
ORD202400940,2024-03-17,Dress - Fashion,Fashion,Dress,CUST4151,West,Pune,Mobile App,1147,2,0.35,1491.1,1770.03,-278.93,Debit Card
ORD202400159,2024-03-18,Air Fryer - Home,Home,Air Fryer,CUST3757,North,Chandigarh,Online,5695,3,0.18,14009.7,12756.0,1253.7,Credit Card
ORD202400410,2024-03-18,Dumbbells - Sports,Sports,Dumbbells,CUST4122,South,Hyderabad,Mobile App,3187,1,0.1,2868.3,2388.11,480.19,UPI
ORD202400335,2024-03-18,Yoga Mat - Sports,Sports,Yoga Mat,CUST5769,North,Lucknow,Online,2363,2,0.15,4017.1,2986.22,1030.88,Net Banking
RET202400024,2024-03-18,Dumbbells - Sports,Sports,Dumbbells,CUST4122,South,Hyderabad,Mobile App,3187,-1,0.1,-2868.3,2388.11,-480.19,UPI
ORD202400043,2024-03-18,Water Purifier - Home,Home,Water Purifier,CUST2574,South,Hyderabad,Online,7544,1,0.14,6487.84,4614.85,1872.99,Debit Card
ORD202401119,2024-03-18,Dumbbells - Sports,Sports,Dumbbells,CUST3326,North,Delhi,Store,2720,2,0.16,4569.6,3783.1,786.5,UPI
ORD202400873,2024-03-18,Perfume - Beauty,Beauty,Perfume,CUST1100,South,Hyderabad,Online,647,3,0.04,1863.36,1524.88,338.48,UPI
ORD202400939,2024-03-19,Earbuds - Electronics,Electronics,Earbuds,CUST1269,East,Bhubaneswar,Online,14925,1,0.15,12686.25,10535.91,2150.34,Credit Card
ORD202400932,2024-03-19,Smartphone - Electronics,Electronics,Smartphone,CUST1240,North,Lucknow,Online,11435,2,0.25,17152.5,16911.8,240.7,Net Banking
ORD202401144,2024-03-20,Smartwatch - Electronics,Electronics,Smartwatch,CUST5711,East,Kolkata,Mobile App,11883,5,0.35,38619.75,44225.54,-5605.79,Credit Card
ORD202400038,2024-03-20,Tablet - Electronics,Electronics,Tablet,CUST4486,North,Chandigarh,Online,15757,1,0.08,14496.44,12194.93,2301.51,Cash on Delivery
ORD202400523,2024-03-20,Earbuds - Electronics,Electronics,Earbuds,CUST1456,West,Mumbai,Online,16382,2,0.1,29487.6,23323.87,6163.73,Credit Card
ORD202400080,2024-03-21,Football - Sports,Sports,Football,CUST5232,West,Mumbai,Online,2380,3,0.17,5926.2,5528.9,397.3,UPI
ORD202400240,2024-03-21,Earbuds - Electronics,Electronics,Earbuds,CUST2538,South,Chennai,Mobile App,17045,8,0.27,99542.8,115173.93,-15631.13,UPI
ORD202401134,2024-03-21,Jacket - Fashion,Fashion,Jacket,CUST5174,East,Guwahati,Store,1304,1,0.19,1056.24,1101.75,-45.51,UPI
ORD202400774,2024-03-21,Dumbbells - Sports,Sports,Dumbbells,CUST1309,East,Guwahati,Mobile App,2162,1,0.14,1859.32,1344.15,515.17,Debit Card
ORD202400744,2024-03-21,Smartphone - Electronics,Electronics,Smartphone,CUST2885,East,Bhubaneswar,Online,18884,2,0.04,36257.28,27285.76,8971.52,Credit Card
ORD202400269,2024-03-22,Jacket - Fashion,Fashion,Jacket,CUST5135,North,Chandigarh,Mobile App,1382,1,0.24,1050.32,950.3,100.02,UPI
ORD202401017,2024-03-22,Dumbbells - Sports,Sports,Dumbbells,CUST2540,West,Ahmedabad,Mobile App,2847,1,0.14,2448.42,2207.12,241.3,UPI
ORD202400092,2024-03-22,Air Cooler - Home,Home,Air Cooler,CUST5795,West,Surat,Store,4913,2,0.2,7860.8,6533.81,1326.99,UPI
ORD202400072,2024-03-22,Jacket - Fashion,Fashion,Jacket,CUST4577,West,Surat,Online,1640,2,0.34,2164.8,2303.72,-138.92,Debit Card
